Pos,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,DP,BA,OBP,SLG,OPS,OPS+,team,year,leauge,pit_bat
C,Bruce Petway**,30.0,57.0,197.0,165.0,26.0,36.0,4.0,2.0,2.0,20.0,6.0,3.0,22.0,7.0,,1.0,9.0,,,0.218,0.314,0.303,0.617,96.0,CAG,1916,2,bat
1B,Leroy Grant,27.0,58.0,228.0,209.0,27.0,58.0,14.0,1.0,1.0,39.0,6.0,1.0,12.0,4.0,,0.0,7.0,,,0.278,0.317,0.368,0.685,118.0,CAG,1916,2,bat
2B,Harry Bauchman,26.0,50.0,167.0,144.0,20.0,28.0,3.0,0.0,0.0,9.0,5.0,5.0,19.0,10.0,,0.0,4.0,,,0.19399999999999998,0.28800000000000003,0.215,0.504,60.0,CAG,1916,2,bat
3B,Bill Francis,37.0,62.0,244.0,199.0,27.0,42.0,10.0,0.0,0.0,22.0,1.0,4.0,31.0,2.0,,4.0,10.0,,,0.21100000000000002,0.32899999999999996,0.261,0.59,88.0,CAG,1916,2,bat
SS,John Henry Lloyd*,32.0,62.0,250.0,223.0,38.0,75.0,9.0,2.0,1.0,34.0,6.0,1.0,20.0,2.0,,2.0,5.0,,,0.336,0.396,0.408,0.804,156.0,CAG,1916,2,bat
LF,Pete Hill*,33.0,56.0,220.0,184.0,41.0,56.0,7.0,2.0,2.0,23.0,8.0,1.0,27.0,6.0,,2.0,7.0,,,0.304,0.39899999999999997,0.397,0.7959999999999999,153.0,CAG,1916,2,bat
CF,Jesse Barber*,28.0,59.0,249.0,227.0,36.0,71.0,8.0,6.0,0.0,31.0,8.0,2.0,13.0,7.0,,0.0,9.0,,,0.313,0.35,0.401,0.7509999999999999,139.0,CAG,1916,2,bat
RF,Frank Duncan*,28.0,60.0,242.0,211.0,26.0,62.0,5.0,1.0,1.0,27.0,2.0,5.0,18.0,9.0,,4.0,9.0,,,0.294,0.361,0.341,0.7020000000000001,123.0,CAG,1916,2,bat
LF,Judy Gans*,29.0,46.0,162.0,147.0,12.0,32.0,4.0,4.0,0.0,15.0,2.0,2.0,10.0,12.0,,1.0,4.0,,,0.218,0.272,0.299,0.5710000000000001,82.0,CAG,1916,2,bat
C,Clarkson Brazelton^,24.0,12.0,24.0,21.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,,0.0,1.0,,,0.19,0.261,0.19,0.451,44.0,CAG,1916,2,bat
C,Buddy Hayes,20.0,5.0,9.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,,,0.125,0.222,0.125,0.34700000000000003,10.0,CAG,1916,2,bat
C,Burlin White^,21.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.2,0.2,0.2,0.4,27.0,CAG,1916,2,bat
2B,Jack Biran^,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,-100.0,CAG,1916,2,bat
SP,Tom Johnson,27.0,24.0,58.0,45.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,4.0,,0.0,2.0,,,0.08900000000000001,0.268,0.08900000000000001,0.35700000000000004,14.0,CAG,1916,2,bat
SP,Frank Wickware,28.0,22.0,56.0,48.0,2.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,2.0,,0.0,2.0,,,0.10400000000000001,0.204,0.10400000000000001,0.308,-2.0,CAG,1916,2,bat
SP,Dick Whitworth,20.0,20.0,48.0,45.0,7.0,7.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,8.0,,0.0,1.0,,,0.156,0.191,0.17800000000000002,0.369,18.0,CAG,1916,2,bat
