Pos,Player,Age,W,L,W%,G,GS,GF,CG,SHO,SV,IP,R,ER,H,HR,BB,K,WP,BK,HBP,BF,ERA,ERA+,team,year,leauge,pit_bat
SP,Tom Johnson,27.0,14.0,4.0,0.778,24.0,18.0,,12.0,0.0,0.0,156.0,68.0,59.0,130.0,3.0,56.0,73.0,1.0,,0.0,640.0,3.4,73.0,CAG,1916,2,pit
SP,Frank Wickware,28.0,6.0,7.0,0.462,21.0,16.0,,10.0,4.0,0.0,146.2,53.0,35.0,107.0,0.0,61.0,75.0,2.0,,1.0,584.0,2.15,116.0,CAG,1916,2,pit
SP,Dick Whitworth,20.0,12.0,3.0,0.8,20.0,13.0,,11.0,3.0,0.0,121.0,30.0,23.0,83.0,0.0,65.0,88.0,1.0,,4.0,498.0,1.71,145.0,CAG,1916,2,pit
SP,Judy Gans*,29.0,4.0,1.0,0.8,9.0,5.0,,4.0,0.0,0.0,50.2,16.0,14.0,37.0,0.0,24.0,23.0,0.0,,1.0,209.0,2.49,100.0,CAG,1916,2,pit
SP,Rube Foster,36.0,1.0,1.0,0.5,2.0,2.0,,2.0,0.0,0.0,18.0,6.0,2.0,17.0,0.0,9.0,8.0,0.0,,0.0,79.0,1.0,248.0,CAG,1916,2,pit
SP,Death Valley Scott^,,0.0,2.0,0.0,2.0,2.0,,1.0,0.0,0.0,13.1,19.0,14.0,20.0,0.0,9.0,1.0,0.0,,1.0,71.0,9.45,26.0,CAG,1916,2,pit
SP,Ruby Tyrees,24.0,0.0,2.0,0.0,3.0,3.0,,1.0,0.0,0.0,11.1,5.0,4.0,14.0,0.0,3.0,8.0,0.0,,1.0,51.0,3.18,78.0,CAG,1916,2,pit
SP,Steven Dixon,,0.0,1.0,0.0,1.0,1.0,,1.0,0.0,0.0,9.0,3.0,2.0,4.0,0.0,3.0,3.0,0.0,,0.0,34.0,2.0,124.0,CAG,1916,2,pit
SP,Juan PadrÃ³n*,23.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,,0.0,30.0,0.0,,CAG,1916,2,pit
SP,Davis^,,0.0,0.0,,1.0,1.0,,0.0,0.0,0.0,0.1,2.0,2.0,3.0,0.0,0.0,1.0,0.0,,0.0,4.0,54.0,5.0,CAG,1916,2,pit
RP,Sam Crawford,24.0,0.0,0.0,,1.0,0.0,,0.0,0.0,0.0,6.0,3.0,2.0,5.0,0.0,2.0,4.0,0.0,,0.0,23.0,3.0,83.0,CAG,1916,2,pit
SP,Tom Johnson,27.0,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,9.0,6.0,3.0,10.0,2.0,4.0,0.0,0.0,,0.0,43.0,3.0,69.0,CAG,1916,3,pit
SP,Edgar Washington^,18.0,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,9.0,2.0,0.0,5.0,0.0,1.0,5.0,0.0,,1.0,34.0,0.0,,CAG,1916,3,pit
